Gender,Age,Annual Income (k$),Spending Score (1-100)
Female,20,16,6
Female,23,16,77
Female,31,17,40
Female,22,17,76
Female,35,18,6
Female,23,18,94
Female,30,19,72
Female,35,19,99
Female,58,20,15
Female,24,20,77
Female,35,21,35
Female,35,23,98
Female,46,25,5
Female,54,28,14
Female,45,28,32
Female,40,29,31
Female,23,29,87
Female,21,30,73
Female,49,33,14
Female,21,33,81
Female,42,34,17
Female,30,34,73
Female,36,37,26
Female,20,37,75
Female,65,38,35
Female,31,39,61
Female,49,39,28
Female,24,39,65
Female,50,40,55
Female,27,40,47
Female,29,40,42
Female,31,40,42
Female,49,42,52
Female,31,43,54
Female,50,43,45
Female,51,44,50
Female,27,46,51
Female,67,47,52
Female,54,47,59
Female,43,48,50
Female,68,48,48
Female,32,48,47
Female,47,49,42
Female,60,50,49
Female,60,50,56
Female,45,54,53
Female,23,54,52
Female,49,54,42
Female,46,54,44
Female,21,54,57
Female,55,57,58
Female,22,57,55
Female,34,58,60
Female,50,58,46
Female,68,59,55
Female,40,60,40
Female,32,60,42
Female,47,60,47
Female,27,60,50
Female,23,62,41
Female,49,62,48
Female,21,62,42
Female,66,63,50
Female,19,63,54
Female,38,64,42
Female,18,65,48
Female,19,65,50
Female,63,65,43
Female,49,65,59
Female,51,67,43
Female,50,67,57
Female,38,67,40
Female,40,69,58
Female,23,70,29
Female,31,70,77
Female,25,72,34
Female,31,72,71
Female,29,73,88
Female,44,73,7
Female,35,74,72
Female,57,75,5
Female,28,76,40
Female,32,76,87
Female,32,77,74
Female,34,78,22
Female,44,78,20
Female,38,78,76
Female,47,78,16
Female,27,78,89
Female,30,78,78
Female,30,78,73
Female,56,79,35
Female,29,79,83
Female,31,81,93
Female,36,85,75
Female,33,86,95
Female,36,87,27
Female,52,88,13
Female,30,88,86
Female,37,97,32
Female,32,97,86
Female,29,98,88
Female,41,99,39
Female,54,101,24
Female,41,103,17
Female,36,103,85
Female,34,103,23
Female,32,103,69
Female,38,113,91
Female,47,120,16
Female,35,120,79
Female,45,126,28
