tv_id,tv_name,release_year,ratings,series_type,episodes,certificate,duration,cast_id,cast_name,tagline,genre
tt5491994,Planet Earth II,2016,9.4,TV Mini Series,6,U,298,"nm0041003,nm0118096,nm1769336,nm4830788,nm2357454,nm2139109,nm2525988,nm3482115,nm2489663,nm3703869,nm0110160,nm5472684,nm2366348,nm5587234,nm1651642,nm8694481,nm1651645,nm4776529","David Attenborough,Gordon Buchanan,Chadden Hunter,Fredi Devas,Elizabeth White,Emma Napper,Max Hug Williams,Ed Charles,Sandesh Kadur,Thomas Crowley,Barrie Britton,Michael J. Sanderson,Jerome Poncet,Toby Nowlan,Mark MacEwen,Armin Holtze,Pete McCowen,Rob Drewett",A new world revealed,Documentary
tt0903747,Breaking Bad,2008,9.4,TV Series,62,15,49,"nm0186505,nm0666739,nm0348152,nm1336827,nm2666409,nm0606487,nm0644022,nm2366374,nm0052186,nm0002064,nm1889973,nm0687146,nm0184086,nm0292182,nm2804503,nm0928795,nm1089417,nm1530474","Bryan Cranston,Aaron Paul,Anna Gunn,Betsy Brandt,RJ Mitte,Dean Norris,Bob Odenkirk,Steven Michael Quezada,Jonathan Banks,Giancarlo Esposito,Charles Baker,Jesse Plemons,Christopher Cousins,Laura Fraser,Matt Jones,Michael Shamus Wiles,Lavell Crawford,Ray Campbell","In the no-holds-barred world of Walt White, the end justifies the extreme. (season 2)","Crime,Drama,Thriller"
tt0795176,Planet Earth,2006,9.4,TV Mini Series,11,PG,538,"nm0000244,nm0041003,nm0238419,nm8603319,nm2898035,nm2142682,nm1768412,nm1080418,nm1829363,nm2145817,nm1769336,nm0445430,nm0455280,nm2613148,nm1951462,nm1427827,nm1713809,nm2462576","Sigourney Weaver,David Attenborough,Nikolay Drozdov,Thomas Anguti Johnston,Sanae Ueda,Huw Cordey,Mark Linfield,Doug Allan,Paul Stewart,Mike Holding,Chadden Hunter,Michael Kelem,Simon King,Jeff Wilson,Tania Jenkins,Rick Rosenthal,Doug Anderson,Justine Evans",Prepare to see it as never before.,Documentary
tt0185906,Band of Brothers,2001,9.4,TV Mini Series,10,15,594,"nm0342241,nm0507073,nm0515296,nm0853169,nm0005531,nm0950186,nm0500614,nm1056790,nm0053028,nm0191044,nm0002077,nm0327072,nm0534944,nm0564680,nm0020464,nm0130005,nm0376110,nm0481927","Scott Grimes,Damian Lewis,Ron Livingston,Shane Taylor,Donnie Wahlberg,Peter Youngblood Hills,Matthew Leitch,Nicholas Aaron,Philip Barantini,Michael Cudlitz,Dexter Fletcher,Rick Gomez,James Madio,Ross McCall,Doug Allen,George Calil,Nolan Hemmings,Robin Laing",They depended on each other. And the world depended on them.,"Drama,History,War"
tt7366338,Chernobyl,2019,9.3,TV Mini Series,5,15,330,"nm2976580,nm0364813,nm0001745,nm1835523,nm0001833,nm0728795,nm3016166,nm0873744,nm0203801,nm2523072,nm3130076,nm10676111,nm0712628,nm0929977,nm0642126,nm7077073,nm10676110,nm1399770","Jessie Buckley,Jared Harris,Stellan Skarsgård,Adam Nagaitis,Emily Watson,Paul Ritter,Robert Emms,Sam Troughton,Karl Davies,Michael Socha,Laura Elphinstone,Jan Ricica,Adrian Rawlins,Alan Williams,Con O'Neill,Douggie McMeekin,Nadia Clifford,David Dencik",What is the cost of lies?,"Drama,History,Thriller"
tt0306414,The Wire,2002,9.3,TV Series,60,18,59,"nm0922035,nm0714698,nm0812308,nm0682495,nm0231283,nm0522479,nm0319121,nm0518511,nm0676370,nm0747420,nm0931324,nm0874082,nm0265670,nm0732494,nm0216257,nm0412907,nm0365445,nm0252961","Dominic West,Lance Reddick,Sonja Sohn,Wendell Pierce,John Doman,Deirdre Lovejoy,Seth Gilliam,Domenick Lombardozzi,Clarke Peters,Andre Royo,Michael Kenneth Williams,Jim True-Frost,Frankie Faison,Corey Parker Robinson,Delaney Williams,J.D. Williams,Wood Harris,Idris Elba",A new case begins... (second season),"Crime,Drama,Thriller"
tt0417299,Avatar: The Last Airbender,2005,9.2,TV Series,62,PG,23,"nm0048389,nm0878940,nm0926165,nm1123750,nm0002364,nm1402100,nm0538683,nm0217221,nm0812220,nm1185516,nm0000434,nm0477075,nm0352374,nm2055652,nm0002350,nm0308127,nm0005042,nm0796732","Dee Bradley Baker,Zach Tyler Eisen,Mae Whitman,Jack De Sena,Dante Basco,Michaela Jill Murphy,Mako,Grey Griffin,André Sogliuzzo,Cricket Leigh,Mark Hamill,Jennie Kwan,Olivia Hack,Greg Baldwin,Jim Meskimen,James Garrett,Jason Isaacs,James Sie",The Avatar Returns,"Animation,Action,Adventure"
tt6769208,Blue Planet II,2017,9.2,TV Mini Series,7,U,364,"nm0041003,nm0238311,nm3734430,nm3495675","David Attenborough,Peter Drost,Roger Munns,Roger Horrocks",Take a deep breath,Documentary
tt2395695,Cosmos,2014,9.2,TV Mini Series,13,U,557,"nm1183205,nm0256194,nm0267660,nm3086712,nm0718572,nm0256681,nm0812220,nm1086543,nm0000379,nm0482851,nm0000649,nm0147738,nm0023927,nm0532235,nm0851317,nm0419089,nm3745728,nm13001791","Neil deGrasse Tyson,Christopher Emerson,Keythe Farley,Piotr Michael,Enn Reitel,Stoney Emshwiller,André Sogliuzzo,Amanda Seyfried,Kirsten Dunst,Phil LaMarr,Paul Sorvino,Larry Cedar,Christiane Amanpour,Seth MacFarlane,Fred Tatasciore,Martin Jarvis,Glenn Steinbaum,Maria Frucci",No Taglines,Documentary
tt0141842,The Sopranos,1999,9.2,TV Series,86,18,55,"nm0001254,nm0000966,nm0004908,nm0408284,nm0005523,nm0407615,nm0802831,nm0797464,nm0156940,nm0878152,nm0771993,nm0005576,nm0342106,nm0304430,nm0029512,nm0893247,nm0192603,nm0898634","James Gandolfini,Lorraine Bracco,Edie Falco,Michael Imperioli,Steven Van Zandt,Robert Iler,Tony Sirico,Jamie-Lynn Sigler,Dominic Chianese,Aida Turturro,Steve Schirripa,Drea de Matteo,Dan Grimaldi,Joseph R. Gannascoli,Sharon Angela,John Ventimiglia,Vincent Curatola,Frank Vincent","Made in America. (season 6, part 2)","Crime,Drama"
tt0081846,Cosmos,1980,9.2,TV Mini Series,13,U,780,"nm0755981,nm0361570,nm0153068,nm0381934,nm0153364,nm3204003,nm2684383,nm1559900,nm4580476,nm1931299,nm12995614,nm4580095,nm4580639,nm0387205,nm0899013","Carl Sagan,Jaromír Hanzlík,Jonathan Fahn,Bob Hevelone,Jean Charney,Linda Morabito,Cecilia White,Larry Soderblom,Ronald A. Hilbert,Arthur 'Lonne' Lane,Bill Grant,Alan Belod,Victor C. John,Dana Hlavácová,Josef Vinklár",No Taglines,Documentary
tt9253866,Our Planet,2019,9.2,TV Mini Series,8,U,403,nm0041003,David Attenborough,No Taglines,Documentary
tt0944947,Game of Thrones,2011,9.1,TV Series,73,18,57,"nm3592338,nm0227759,nm3229685,nm0372176,nm3849842,nm3586035,nm0182666,nm0322513,nm4263213,nm0654295,nm0384152,nm0192377,nm3729225,nm0318821,nm3652842,nm0564920,nm2812026,nm0283492","Emilia Clarke,Peter Dinklage,Kit Harington,Lena Headey,Sophie Turner,Maisie Williams,Nikolaj Coster-Waldau,Iain Glen,John Bradley,Alfie Allen,Conleth Hill,Liam Cunningham,Gwendoline Christie,Aidan Gillen,Isaac Hempstead Wright,Rory McCann,Nathalie Emmanuel,Jerome Flynn",Winter is coming.,"Action,Adventure,Drama"
tt0071075,The World at War,1973,9.1,TV Series,26,15,52,"nm0000059,nm0364207,nm0817553,nm0249075,nm0923056,nm0244357,nm0172351,nm0440479,nm0609884,nm0891132,nm0912307,nm0173422,nm0312658,nm0297164,nm0444985,nm0125033,nm0565943,nm0302529","Laurence Olivier,Averell Harriman,Albert Speer,Anthony Eden,Siegfried Westphal,Lawrence Durrell,J. Lawton Collins,Toshikazu Kase,Louis Mountbatten,Wynford Vaughan-Thomas,Walter Warlimont,J.R. Colville,Minoru Genda,Mitsuo Fuchida,Hans Kehrl,R.A. Butler,John J. McCloy,Adolf Galland",No Taglines,"Documentary,History,War"
