id_,names,profession,worked_as,famous_for,famous_movies,height,dob,birthplace,img_link,profile_link
nm0000079,Raquel Welch,Actress,"Actress,Producer,Writer",The Three Musketeers,"The Three Musketeers,Myra Breckinridge,Hannie Caulder,Fathom",1.68 m,"September 5, 1940","Chicago, Illinois, USA","https://m.media-amazon.com/images/M/MV5BZDJhMzAwY2EtYmI5ZC00NjUxLThjOTItODkzODYwNzUzOGYxXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UY209_CR13,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0000079
nm0050959,Pedro Pascal,Actor,"Actor,Producer,Soundtrack",The Mandalorian,"The Mandalorian,Kingsman: The Golden Circle,Game of Thrones,Wonder Woman 1984", (1.79 m,"April 2, 1975","Santiago de Chile, Metropolitan Region, Chile","https://m.media-amazon.com/images/M/MV5BMGNlYTVlYTMtMjRhMC00YjY5LTkwMzMtZDE4MWQzMzgwYmUzXkEyXkFqcGdeQXVyMjI0OTExNzk@._V1_UY209_CR15,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0050959
nm8165602,Bella Ramsey,Actress,"Actress,Soundtrack,Writer",Game of Thrones,"Game of Thrones,The Last of Us,Catherine Called Birdy,Hilda",(1.56 m,"September 30, 2003","Nottinghamshire, England, UK","https://m.media-amazon.com/images/M/MV5BMWJkZWEyMWYtYWI1MS00ZTY0LTg2MTAtYjUzMWIwZDhjNmViXkEyXkFqcGdeQXVyNzI5MjUxNjE@._V1_UY209_CR13,0,140,209_AL_.jpg",https://www.imdb.com/name/nm8165602
nm0001491,Melanie Lynskey,Actress,"Actress,Soundtrack",Togetherness,"Togetherness,Heavenly Creatures,Up in the Air,The Intervention",1.70 m,"May 16, 1977","New Plymouth, New Zealand","https://m.media-amazon.com/images/M/MV5BMjIzNDg5NTg4Nl5BMl5BanBnXkFtZTcwMTU3NjgyMw@@._V1_UY209_CR4,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0001491
nm8567338,Sasha Calle,Actress,"Actress,Music Department",The Flash,"The Flash,Supergirl,On Swift Horses,The Young and the Restless",1.70 m,"August 7, 1995","Boston, Massachusetts, USA","https://m.media-amazon.com/images/M/MV5BZTc1YmUzMTMtZjQyYS00ZTIwLWFiNTYtMWNmNDZmODhiMzUwXkEyXkFqcGdeQXVyNzEyNDIxMTI@._V1_UY209_CR14,0,140,209_AL_.jpg",https://www.imdb.com/name/nm8567338
nm1156709,Annie Wersching,Actress,Actress,The Last of Us,"The Last of Us,24,Revolution,Runaways",1.70 m,"March 28, 1977","St. Louis, Missouri, USA","https://m.media-amazon.com/images/M/MV5BNmQ5NGQwZWMtYzlmMy00YTE0LThlZjEtNTM5MTkzNjI0MzNkXkEyXkFqcGdeQXVyMzM3NDM0MA@@._V1_UX140_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm1156709
nm2492359,Charlotte Ritchie,Actress,"Actress,Writer,Soundtrack",Call the Midwife,"Call the Midwife,Dreamfall Chapters,Repeat,You",1.70 m,"August 29, 1989","Westminster, London, England, UK","https://m.media-amazon.com/images/M/MV5BMjk5Zjk3ZjktMDBkNi00OWZmLTg5Y2YtZjE4YzVjZmI5NTNjXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR12,0,140,209_AL_.jpg",https://www.imdb.com/name/nm2492359
nm4911194,Jenna Ortega,Actress,"Actress,Producer,Soundtrack",Scream,"Scream,X,The Fallout,Wednesday",1.55 m,"September 27, 2002","Coachella Valley, California, USA","https://m.media-amazon.com/images/M/MV5BNmQ1MDJhYmUtNTJhYS00Njk2LTgyMmEtYmNhM2JiZGMwMTc0XkEyXkFqcGdeQXVyMzQwODQxNTU@._V1_UX140_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm4911194
nm0005169,Natasha Lyonne,Actress,"Actress,Producer,Writer",Orange Is the New Black,"Orange Is the New Black,American Pie,Slums of Beverly Hills,Detroit Rock City",1.60 m,"April 4, 1979","New York City, New York, USA","https://m.media-amazon.com/images/M/MV5BMTEyMzc2MTE2MzheQTJeQWpwZ15BbWU4MDUwNTY0ODYx._V1_UX140_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0005169
nm1396022,Anna Torv,Actress,"Actress,Soundtrack",Fringe,"Fringe,Heavenly Sword,Heavenly Sword,Mindhunter",(1.72 m,"June 7, 1979","Melbourne, Victoria, Australia","https://m.media-amazon.com/images/M/MV5BMzQ0NDg0MjQ3NV5BMl5BanBnXkFtZTgwOTI5OTAwODE@._V1_UY209_CR8,0,140,209_AL_.jpg",https://www.imdb.com/name/nm1396022
nm0005110,Ashton Kutcher,Actor,"Actor,Producer,Writer",That '70s Show,"That '70s Show,Just Married,A Lot Like Love,Killers",(1.89 m,"February 7, 1978","Cedar Rapids, Iowa, USA","https://m.media-amazon.com/images/M/MV5BMzIzMTE4NzcyMl5BMl5BanBnXkFtZTgwODA2NTQyNTM@._V1_UY209_CR87,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0005110
nm1105980,Kathryn Newton,Actress,"Actress,Soundtrack",Ant-Man and the Wasp: Quantumania,"Ant-Man and the Wasp: Quantumania,Big Little Lies,Pokémon: Detective Pikachu,Freaky",1.65 m,February 8,"Orlando, Florida, USA","https://m.media-amazon.com/images/M/MV5BMDM5YjI2NDItYWY1My00ZmUyLTgyZjMtOGQzMmEyNjk0ODU5XkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UX140_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm1105980
nm3718007,Jonathan Majors,Actor,"Actor,Producer,Soundtrack",Lovecraft Country,"Lovecraft Country,The Last Black Man in San Francisco,White Boy Rick,When We Rise",3 m,"September 7, 1989","Lompoc, California, USA","https://m.media-amazon.com/images/M/MV5BYTQ0ZDkzZmYtYzAzZC00YTUwLWJhZmEtZGRjZTQyYWUwYWI0XkEyXkFqcGdeQXVyMjU2Nzg3NzM@._V1_UY209_CR3,0,140,209_AL_.jpg",https://www.imdb.com/name/nm3718007
nm1555340,Alison Brie,Actress,"Actress,Producer,Writer",GLOW,"GLOW,Community,Promising Young Woman,The Lego Movie",1.63 m,"December 29, 1982","Hollywood, Los Angeles, California, USA","https://m.media-amazon.com/images/M/MV5BMjJkNDg5ZDctM2RlZS00NjFmLTkxZjktMWE5NGQzMDg4NDFhXkEyXkFqcGdeQXVyMTMwMDM1OTQ@._V1_UY209_CR6,0,140,209_AL_.jpg",https://www.imdb.com/name/nm1555340
nm0000246,Bruce Willis,Actor,"Actor,Producer,Writer",Die Hard,"Die Hard,Pulp Fiction,Moonlighting,The Sixth Sense",3 m,"March 19, 1955","Idar-Oberstein, West Germany","https://m.media-amazon.com/images/M/MV5BMjA0MjMzMTE5OF5BMl5BanBnXkFtZTcwMzQ2ODE3Mw@@._V1_UY209_CR19,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0000246
nm0682386,Jeffrey Pierce,Actor,"Actor,Producer,Director",The Last of Us,"The Last of Us,The Last of Us: Part II,Call of Duty: WWII,Bosch",3 m,"December 13, 1971","Denver, Colorado, USA","https://m.media-amazon.com/images/M/MV5BYzhkMDJiOGItYTI3OS00YWE3LTg1MGYtYjI5OGM4ODFlOWVlXkEyXkFqcGdeQXVyNDg4NjUyOQ@@._V1_UY209_CR13,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0682386
nm5301405,Mia Goth,Actress,"Actress,Producer,Writer",Pearl,"Pearl,X,Suspiria,A Cure for Wellness",(1.77 m,"October 25, 1993","Southwark, London, England, UK","https://m.media-amazon.com/images/M/MV5BMTcwNDkyNjI1M15BMl5BanBnXkFtZTgwMDY2OTk0NzM@._V1_UY209_CR9,0,140,209_AL_.jpg",https://www.imdb.com/name/nm5301405
