celeb_id,celeb_name,profession,famous_for,img_link,profile_link
nm0000079,Raquel Welch,Actress,The Three Musketeers,"https://m.media-amazon.com/images/M/MV5BZDJhMzAwY2EtYmI5ZC00NjUxLThjOTItODkzODYwNzUzOGYxXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UY209_CR13,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0000079
nm0050959,Pedro Pascal,Actor,The Mandalorian,"https://m.media-amazon.com/images/M/MV5BMGNlYTVlYTMtMjRhMC00YjY5LTkwMzMtZDE4MWQzMzgwYmUzXkEyXkFqcGdeQXVyMjI0OTExNzk@._V1_UY209_CR15,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0050959
nm8165602,Bella Ramsey,Actress,Game of Thrones,"https://m.media-amazon.com/images/M/MV5BMWJkZWEyMWYtYWI1MS00ZTY0LTg2MTAtYjUzMWIwZDhjNmViXkEyXkFqcGdeQXVyNzI5MjUxNjE@._V1_UY209_CR13,0,140,209_AL_.jpg",https://www.imdb.com/name/nm8165602
nm0001491,Melanie Lynskey,Actress,Togetherness,"https://m.media-amazon.com/images/M/MV5BMjIzNDg5NTg4Nl5BMl5BanBnXkFtZTcwMTU3NjgyMw@@._V1_UY209_CR4,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0001491
nm8567338,Sasha Calle,Actress,The Flash,"https://m.media-amazon.com/images/M/MV5BZTc1YmUzMTMtZjQyYS00ZTIwLWFiNTYtMWNmNDZmODhiMzUwXkEyXkFqcGdeQXVyNzEyNDIxMTI@._V1_UY209_CR14,0,140,209_AL_.jpg",https://www.imdb.com/name/nm8567338
nm1156709,Annie Wersching,Actress,The Last of Us,"https://m.media-amazon.com/images/M/MV5BNmQ5NGQwZWMtYzlmMy00YTE0LThlZjEtNTM5MTkzNjI0MzNkXkEyXkFqcGdeQXVyMzM3NDM0MA@@._V1_UX140_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm1156709
nm2492359,Charlotte Ritchie,Actress,Call the Midwife,"https://m.media-amazon.com/images/M/MV5BMjk5Zjk3ZjktMDBkNi00OWZmLTg5Y2YtZjE4YzVjZmI5NTNjXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR12,0,140,209_AL_.jpg",https://www.imdb.com/name/nm2492359
nm4911194,Jenna Ortega,Actress,Scream,"https://m.media-amazon.com/images/M/MV5BNmQ1MDJhYmUtNTJhYS00Njk2LTgyMmEtYmNhM2JiZGMwMTc0XkEyXkFqcGdeQXVyMzQwODQxNTU@._V1_UX140_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm4911194
nm0005169,Natasha Lyonne,Actress,Orange Is the New Black,"https://m.media-amazon.com/images/M/MV5BMTEyMzc2MTE2MzheQTJeQWpwZ15BbWU4MDUwNTY0ODYx._V1_UX140_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0005169
nm1396022,Anna Torv,Actress,Fringe,"https://m.media-amazon.com/images/M/MV5BMzQ0NDg0MjQ3NV5BMl5BanBnXkFtZTgwOTI5OTAwODE@._V1_UY209_CR8,0,140,209_AL_.jpg",https://www.imdb.com/name/nm1396022
nm0005110,Ashton Kutcher,Actor,That '70s Show,"https://m.media-amazon.com/images/M/MV5BMzIzMTE4NzcyMl5BMl5BanBnXkFtZTgwODA2NTQyNTM@._V1_UY209_CR87,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0005110
nm1105980,Kathryn Newton,Actress,Ant-Man and the Wasp: Quantumania,"https://m.media-amazon.com/images/M/MV5BMDM5YjI2NDItYWY1My00ZmUyLTgyZjMtOGQzMmEyNjk0ODU5XkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UX140_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm1105980
nm3718007,Jonathan Majors,Actor,Lovecraft Country,"https://m.media-amazon.com/images/M/MV5BYTQ0ZDkzZmYtYzAzZC00YTUwLWJhZmEtZGRjZTQyYWUwYWI0XkEyXkFqcGdeQXVyMjU2Nzg3NzM@._V1_UY209_CR3,0,140,209_AL_.jpg",https://www.imdb.com/name/nm3718007
