id_,names,worked_as,famous_movies,height,dob,birthplace,place  ,subcity,city   ,county ,state  ,country
nm0000079,Raquel Welch,"Actress,Producer,Writer","The Three Musketeers,Myra Breckinridge,Hannie Caulder,Fathom",1.68,"September 5, 1940","Chicago, Illinois, USA",Not Available,Not Available,Chicago,Not Available,Illinois,USA
nm0050959,Pedro Pascal,"Actor,Producer,Soundtrack","The Mandalorian,Kingsman: The Golden Circle,Game of Thrones,Wonder Woman 1984",1.79,"April 2, 1975","Santiago de Chile, Metropolitan Region, Chile",Not Available,Not Available,Santiago de Chile,Not Available,Metropolitan Region,Chile
nm8165602,Bella Ramsey,"Actress,Soundtrack,Writer","Game of Thrones,The Last of Us,Catherine Called Birdy,Hilda",1.56,"September 30, 2003","Nottinghamshire, England, UK",Not Available,Not Available,Nottinghamshire,Not Available,England,UK
nm0001491,Melanie Lynskey,"Actress,Soundtrack","Togetherness,Heavenly Creatures,Up in the Air,The Intervention",1.7,"May 16, 1977","New Plymouth, New Zealand",Not Available,Not Available,Not available,Not Available,New Plymouth,New Zealand
nm8567338,Sasha Calle,"Actress,Music Department","The Flash,Supergirl,On Swift Horses,The Young and the Restless",1.7,"August 7, 1995","Boston, Massachusetts, USA",Not Available,Not Available,Boston,Not Available,Massachusetts,USA
nm1156709,Annie Wersching,Actress,"The Last of Us,24,Revolution,Runaways",1.7,"March 28, 1977","St. Louis, Missouri, USA",Not Available,Not Available,St. Louis,Not Available,Missouri,USA
nm2492359,Charlotte Ritchie,"Actress,Writer,Soundtrack","Call the Midwife,Dreamfall Chapters,Repeat,You",1.7,"August 29, 1989","Westminster, London, England, UK",Westminster,Not Available,London,Not Available,England,UK
nm4911194,Jenna Ortega,"Actress,Producer,Soundtrack","Scream,X,The Fallout,Wednesday",1.55,"September 27, 2002","Coachella Valley, California, USA",Not Available,Not Available,Coachella Valley,Not Available,California,USA
nm0005169,Natasha Lyonne,"Actress,Producer,Writer","Orange Is the New Black,American Pie,Slums of Beverly Hills,Detroit Rock City",1.6,"April 4, 1979","New York City, New York, USA",Not Available,Not Available,New York City,Not Available,New York,USA
nm1396022,Anna Torv,"Actress,Soundtrack","Fringe,Heavenly Sword,Heavenly Sword,Mindhunter",1.72,"June 7, 1979","Melbourne, Victoria, Australia",Not Available,Not Available,Melbourne,Not Available,Victoria,Australia
nm0005110,Ashton Kutcher,"Actor,Producer,Writer","That '70s Show,Just Married,A Lot Like Love,Killers",1.89,"February 7, 1978","Cedar Rapids, Iowa, USA",Not Available,Not Available,Cedar Rapids,Not Available,Iowa,USA
nm1105980,Kathryn Newton,"Actress,Soundtrack","Ant-Man and the Wasp: Quantumania,Big Little Lies,Pokémon: Detective Pikachu,Freaky",1.65,February 8,"Orlando, Florida, USA",Not Available,Not Available,Orlando,Not Available,Florida,USA
nm3718007,Jonathan Majors,"Actor,Producer,Soundtrack","Lovecraft Country,The Last Black Man in San Francisco,White Boy Rick,When We Rise",3.0,"September 7, 1989","Lompoc, California, USA",Not Available,Not Available,Lompoc,Not Available,California,USA
nm1555340,Alison Brie,"Actress,Producer,Writer","GLOW,Community,Promising Young Woman,The Lego Movie",1.63,"December 29, 1982","Hollywood, Los Angeles, California, USA",Hollywood,Not Available,Los Angeles,Not Available,California,USA
nm0000246,Bruce Willis,"Actor,Producer,Writer","Die Hard,Pulp Fiction,Moonlighting,The Sixth Sense",3.0,"March 19, 1955","Idar-Oberstein, West Germany",Not Available,Not Available,Not available,Not Available,Idar-Oberstein,West Germany
nm0682386,Jeffrey Pierce,"Actor,Producer,Director","The Last of Us,The Last of Us: Part II,Call of Duty: WWII,Bosch",3.0,"December 13, 1971","Denver, Colorado, USA",Not Available,Not Available,Denver,Not Available,Colorado,USA
nm5301405,Mia Goth,"Actress,Producer,Writer","Pearl,X,Suspiria,A Cure for Wellness",1.77,"October 25, 1993","Southwark, London, England, UK",Southwark,Not Available,London,Not Available,England,UK
nm0000702,Reese Witherspoon,"Producer,Actress,Executive","Wild,Legally Blonde,Walk the Line,Election",1.57,"March 22, 1976","New Orleans, Louisiana, USA",Not Available,Not Available,New Orleans,Not Available,Louisiana,USA
nm1431940,Evangeline Lilly,"Actress,Soundtrack","Ant-Man,Ant-Man and the Wasp,The Hobbit: The Desolation of Smaug,The Hobbit: The Battle of the Five Armies",1.65,"August 3, 1979","Fort Saskatchewan, Alberta, Canada",Not Available,Not Available,Fort Saskatchewan,Not Available,Alberta,Canada
nm1275259,Alexandra Daddario,"Actress,Producer,Soundtrack","Baywatch,Texas Chainsaw 3D,Percy Jackson & the Olympians: The Lightning Thief,Percy Jackson: Sea of Monsters",1.73,"March 16, 1986","New York City, New York, USA",Not Available,Not Available,New York City,Not Available,New York,USA
nm3856316,Zoe Chao,"Actress,Writer,Producer","Love Life,Downhill,Strangers,Where'd You Go, Bernadette",1.73,"September 19, 1985","Providence, Rhode Island, USA",Not Available,Not Available,Providence,Not Available,Rhode Island,USA
