prof,awards,famous,height,dob,birthplace
"Actress,Second Unit Director or Assistant Director,Music Department",no awards no nominations,Cours privé,1.70 m,"March 20, 1957","Levallois-Perret, Seine [now Hauts-de-Seine], France"
"Actress,Producer,Writer",no awards no nominations,"Inside Out,Baby Mama,Parks and Recreation,Saturday Night Live",1.57 m,"September 16, 1971","Burlington, Massachusetts, USA"
"Actress,Producer,Soundtrack",no awards no nominations,"Gosford Park,Breaking the Waves,Punch-Drunk Love,Red Dragon",1.73 m,"January 14, 1967","Islington, London, England, UK"
"Actor,Second Unit Director or Assistant Director,Music Department",no awards no nominations,"Haider,Jab We Met,Udta Punjab,Kaminey",1.67 m,"February 25, 1981","New Delhi, India"
Actress,no awards no nominations,"Extraordinary,Dracula,Poldark,Grantchester",1.67 m,"February 25, 1981","New Delhi, India"
Actress,no awards no nominations,"Fauda,8200,Mo'adon Layla,HaMirdaf",1.67 m,"June 21, 1992","Hadar HaCarmel, Israel"
"Actor,Soundtrack",no awards no nominations,"The VVitch: A New-England Folktale,The Ballad of Buster Scruggs,The Green Knight,Guardians of the Galaxy",(1.89 m,"December 15, 1969","Leeds, West Yorkshire, England, UK"
"Actor,Producer",no awards no nominations,"National Treasure: Book of Secrets,Appaloosa,The Lone Ranger,MacGruber",(1.86 m,"December 15, 1969","Leeds, West Yorkshire, England, UK"
"Actress,Director,Producer",no awards no nominations,"Last Man Standing,Red White & Blue,Grey's Anatomy,Starry Eyes",1.57 m,"August 27, 1984","Sacramento, California, USA"
"Actress,Producer,Soundtrack",no awards no nominations,"Bullitt,Murder on the Orient Express,Under the Volcano,Casino Royale",(1.69 m,"September 13, 1944","Weybridge, Surrey, England, UK"
"Actor,Director,Producer",no awards no nominations,"The Waltons,Battle Beyond the Stars,It,Wonder Boys",(1.74 m,"June 13, 1951","New York City, New York, USA"
"Actor,Producer,Director",no awards no nominations,"Mindhunter,Fight Club,Lights Out,Shot Caller",3 m,September 3,"New York City, New York, USA"
Actress,no awards no nominations,"RoboCop,Dressed to Kill,RoboCop 3,RoboCop 2",1.68 m,"June 24, 1950","New York City, New York, USA"
"Actor,Producer,Writer",no awards no nominations,"Arrested Development,Veep,Toy Story 4,American Ultra",1.85 m,"September 30, 1970","West Point, New York, USA"
"Actress,Producer,Director",no awards no nominations,"The Freebie,Black Rock,Synchronic,The Gift",1.70 m,"October 1, 1978","Milbridge, Maine, USA"
"Actress,Stunts,Writer",no awards no nominations,"Terrifier 2,Iron Fist,Dispatches from Elsewhere,A Taste of Christmas",1.65 m,"October 1, 1978","Milbridge, Maine, USA"
"Actor,Composer,Music Department",no awards no nominations,"Emma.,The Outfit,Clouds of Sils Maria,Operation Mincemeat",(1.78 m,"March 14, 1983","Johannesburg, South Africa"
"Actor,Producer,Composer",no awards no nominations,"The Last Airbender,The Twilight Saga: Eclipse,Twilight,The Twilight Saga: Breaking Dawn - Part 2",(1.78 m,"December 14, 1984","Singapore City, Singapore"
"Actress,Writer,Soundtrack",no awards no nominations,"Talk to Her,Zimtor the Unspongeable.,Nashville,El Orfanato",1.65 m,"July 31, 1944","Santa Monica, California, USA"
"Actor,Director,Writer",no awards no nominations,"Willow,The Third Day,The Wheel of Time,Dashcam",(1.71 m,"July 31, 1944","Santa Monica, California, USA"
"Actress,Producer",no awards no nominations,"Devil in Ohio,Heartland,My Life with the Walter Boys,Debris",1.63 m,"July 22, 2001","Vancouver, British Columbia, Canada"
"Actor,Producer,Writer",no awards no nominations,"Scrubs,Point Break,Se7en,Platoon",1.88 m,"August 3, 1959","New York City, New York, USA"
"Actress,Producer,Director",no awards no nominations,"Independence Day,Kill Bill: Vol. 1,Batman & Robin,1-800-Missing",1.70 m,"July 30, 1964","South Bend, Indiana, USA"
Actress,no awards no nominations,"The Black Phone,Outcast,American Sniper,Toy Story 4",2 m,"December 22, 2008","San Jose, California, USA"
"Actor,Writer,Director",no awards no nominations,"Merry Happy Whatever,L.A.'s Finest,Santa Clarita Diet,Up in the Air",(1.78 m,"December 22, 2008","San Jose, California, USA"
