prof,awards,b_day,famous_for,b_place,height,parent
"Actress,Producer,Director",1 win,"February 6, 1982","Before We Go,Star Trek Into Darkness,She's Out of My League,Men in Black 3","London, England, UK",(1.66,Trevor Eve
"Actor,Producer,Soundtrack",26 wins & 30 nominations total,"April 10, 1988","The Sixth Sense,Artificial Intelligence: AI,Pay It Forward,Secondhand Lions","Los Angeles, California, USA",1.68,Theresa Seifert
"Actress,Producer,Director",17 wins & 37 nominations,"February 23, 1994","Planetary War,I Am Sam,Man on Fire,Bees' Secret Life","Conyers, Georgia, USA",1.63,Joy Fanning
"Actress,Director,Writer",6 nominations,"October 10, 1988","The Lovely Bones,iZombie,A Christmas Prince,The Piano","Auckland, New Zealand",(1.62,"John George Whitfield ""Mac"" McIver"
"Actor,Producer,Soundtrack",29 wins & 29 nominations,"January 13, 1977","The Lord of the Rings: The Fellowship of the Ring,Pirates of the Caribbean: The Curse of the Black Pearl,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Two Towers","Canterbury, Kent, England, UK",(1.80,Sonia Constance Josephine Copeland
"Actor,Producer,Writer",7 wins & 13 nominations,"April 30, 1980","Outlander,A Princess for Christmas,Island at War,Young Alexander the Great","New Galloway, Dumfriesshire, Scotland, UK",(1.89,Chrissie Heughan
"Writer,Producer,Director",80 wins & 140 nominations total,"January 19, 1985","La La Land,Whiplash,First Man,10 Cloverfield Lane","Providence, Rhode Island, USA",(1.77,Celia Chazelle
"Actor,Producer,Director",18 wins & 78 nominations total,"October 20, 1979","Jack Ryan,A Quiet Place,The Office,A Quiet Place Part II","Newton, Massachusetts, USA",1.91,Mary Claire Doyle
"Actress,Producer,Soundtrack",18 wins & 44 nominations total,"November 6, 1972","Crash,Westworld,Mission: Impossible II,The Pursuit of Happyness","Westminster, London, England, UK",1.60,Nyasha Newton
"Writer,Producer,Actor",82 wins & 110 nominations total,"August 16, 1975","What We Do in the Shadows,Hunt for the Wilderpeople,Jojo Rabbit,Boy","Wellington, New Zealand",(1.84,Robin Cohen
"Actress,Additional Crew,Producer",20 wins & 39 nominations total,"July 1, 1985","La vie d'Adèle,Spectre,No Time to Die,Midnight in Paris","Paris, France",1.68,Valérie Schlumberger
"Actress,Soundtrack",2 nominations,"September 13, 1985","Crazy Ex-Girlfriend,The Big Sick,The Christmas Chronicles,Your Place or Mine","New Mexico, USA",(1.78,Valérie Schlumberger
"Actress,Producer,Writer",29 wins & 70 nominations total,"February 5, 1962","The Hateful Eight,Single White Female,Eclipse Total,Short Cuts","Hollywood, Los Angeles, California, USA",1.60,Barbara Turner
"Actor,Producer,Soundtrack",9 wins & 39 nominations total,"February 7, 1960","The Blacklist,Boston Legal,Sex, Lies, and Videotape,Avengers: Age of Ultron","Boston, Massachusetts, USA",(1.77,Jean Fraser
Actress,1 win & 1 nomination,September 15,"Avengers: Endgame,Blended,The Magic of Belle Isle,Lost in the Sun","Dallas, Texas, USA",1.75,Jean Fraser
