user_id,user_name,bio,follower,following,lives_in,url,account,repos,packages,stars,repos_name,repos_link,stars_repos,stars_repos_links
ankitpanda008,Ankit Kumar Panda,Data Science enthusiast.,0,1,no data,no url,no social account has been linked,3,0.0,0,"CV,Projects-Data-Analysis,linkedin-skill-assessments-quizzes","https://www.github.com/ankitpanda008/CV,https://www.github.com/ankitpanda008/Projects-Data-Analysis,https://www.github.com/ankitpanda008/linkedin-skill-assessments-quizzes",No Repository link,No Repository link
MohanPrathap,No username,No bio,0,2,no data,no url,no social account has been linked,0,0.0,0,No Repository,No Repository link,No Repository link,No Repository link
imayank45,Mayank Kathane,No bio,0,1,no data,no url,no social account has been linked,22,0.0,3,"Data-Analysis,SQL-MySQL,GDP-Analysis,Stock-Data-Analysis,Data-Visualization-on-Heart-Disease-Dataset,2nd-Feb-Assignment,Black-Friday-Sales-Data-Analysis,Data-Preprocessing,Statistics,Pandas,OS-with-Python,Mastering-Numpy-Arrays,Inventory-Management-with-Files,Inventory-Management-System-with-JSON,Getting-Started-with-Files-in-Python,Python,Assignment-2-30th-Jan,29th-January-Assignment,cv,Data_Structures_And_Algorithms,animated-moments-master,File-Handling-and-JSON-GFG","https://www.github.com/imayank45/Data-Analysis,https://www.github.com/imayank45/SQL-MySQL,https://www.github.com/imayank45/GDP-Analysis,https://www.github.com/imayank45/Stock-Data-Analysis,https://www.github.com/imayank45/Data-Visualization-on-Heart-Disease-Dataset,https://www.github.com/imayank45/2nd-Feb-Assignment,https://www.github.com/imayank45/Black-Friday-Sales-Data-Analysis,https://www.github.com/imayank45/Data-Preprocessing,https://www.github.com/imayank45/Statistics,https://www.github.com/imayank45/Pandas,https://www.github.com/imayank45/OS-with-Python,https://www.github.com/imayank45/Mastering-Numpy-Arrays,https://www.github.com/imayank45/Inventory-Management-with-Files,https://www.github.com/imayank45/Inventory-Management-System-with-JSON,https://www.github.com/imayank45/Getting-Started-with-Files-in-Python,https://www.github.com/imayank45/Python,https://www.github.com/imayank45/Assignment-2-30th-Jan,https://www.github.com/imayank45/29th-January-Assignment,https://www.github.com/imayank45/cv,https://www.github.com/imayank45/Data_Structures_And_Algorithms,https://www.github.com/imayank45/animated-moments-master,https://www.github.com/imayank45/File-Handling-and-JSON-GFG","imayank45 / Data-Preprocessing,imayank45 / OS-with-Python,imayank45 / Python,imayank45 / Data-Preprocessing,imayank45 / OS-with-Python,imayank45 / Python","https://www.github.com/imayank45/Data-Preprocessing,https://www.github.com/imayank45/OS-with-Python,https://www.github.com/imayank45/Python,https://www.github.com/imayank45/Data-Preprocessing,https://www.github.com/imayank45/OS-with-Python,https://www.github.com/imayank45/Python"
ChidambaraRaju,Chidambara Raju,A Data Alchemist who Transforms Raw Data into Gold Insights,4,6,no data,https://www.kaggle.com/rajugc,Kaggle,14,0.0,34,"Web-Scraping-Project-IPL-Dataset,Youtube-Data-Analysis,Web-Scraping-Project-Kaggle-Dataset,Web-Scraping-Project-IMDb-Movies-using-Multiprocessing,My-Certificates,English-Premier-League-20-21-Data-Analysis-using-Python,Recommendation-System-in-Python-using-OneHot-Encoding,World-happiness-report-2021-data-analysis,Sudoku-Solver,Random-Password-Generator-using-Python,Text-Cyphering-using-Python,IPL-Data-Analysis,Geographical-Plotting-Using-Folium,American-School-Donation-Data-Analysis-Project","https://www.github.com/ChidambaraRaju/Web-Scraping-Project-IPL-Dataset,https://www.github.com/ChidambaraRaju/Youtube-Data-Analysis,https://www.github.com/ChidambaraRaju/Web-Scraping-Project-Kaggle-Dataset,https://www.github.com/ChidambaraRaju/Web-Scraping-Project-IMDb-Movies-using-Multiprocessing,https://www.github.com/ChidambaraRaju/My-Certificates,https://www.github.com/ChidambaraRaju/English-Premier-League-20-21-Data-Analysis-using-Python,https://www.github.com/ChidambaraRaju/Recommendation-System-in-Python-using-OneHot-Encoding,https://www.github.com/ChidambaraRaju/World-happiness-report-2021-data-analysis,https://www.github.com/ChidambaraRaju/Sudoku-Solver,https://www.github.com/ChidambaraRaju/Random-Password-Generator-using-Python,https://www.github.com/ChidambaraRaju/Text-Cyphering-using-Python,https://www.github.com/ChidambaraRaju/IPL-Data-Analysis,https://www.github.com/ChidambaraRaju/Geographical-Plotting-Using-Folium,https://www.github.com/ChidambaraRaju/American-School-Donation-Data-Analysis-Project","ChidambaraRaju / Web-Scraping-Project-IPL-Dataset,patkle / scrapy-firebase-feed-storage-example,patkle / scrapy-google-sheets-example,patkle / scrapy-google-flights,patkle / selenium-cmd,patkle / scrapy-snippets,patkle / scrapy-proxyland-middleware,patkle / scrapy-scraperapi-middleware,patkle / spidermon,patkle / IBM-Applied-Data-Science-Capstone,patkle / kickstarter,patkle / Metacritic-Scrapy-Project,patkle / Amazon-Scrapy-Project,patkle / itch.io-Scrapy-Project,patkle / VGChartz-Scrapy-Project,patkle / cookiecutter-scrapy-project,patkle / Pokemon-com-Scrapy-Project,patkle / MtG-Scrapy-Project,patkle / Gamespot-Scrapy-Project,patkle / OpenCritic-Scrapy-Project,patkle / CoffeeReview-Scrapy-Project,ChidambaraRaju / Web-Scraping-Project-IMDb-Movies-using-Multiprocessing,ChidambaraRaju / Web-Scraping-Project-Kaggle-Dataset,ChidambaraRaju / My-Certificates,ChidambaraRaju / Youtube-Data-Analysis,ChidambaraRaju / English-Premier-League-20-21-Data-Analysis-using-Python,ChidambaraRaju / Recommendation-System-in-Python-using-OneHot-Encoding,ChidambaraRaju / Text-Cyphering-using-Python,ChidambaraRaju / Random-Password-Generator-using-Python,ChidambaraRaju / World-happiness-report-2021-data-analysis","https://www.github.com/ChidambaraRaju/Web-Scraping-Project-IPL-Dataset,https://www.github.com/patkle/scrapy-firebase-feed-storage-example,https://www.github.com/patkle/scrapy-google-sheets-example,https://www.github.com/patkle/scrapy-google-flights,https://www.github.com/patkle/selenium-cmd,https://www.github.com/patkle/scrapy-snippets,https://www.github.com/patkle/scrapy-proxyland-middleware,https://www.github.com/patkle/scrapy-scraperapi-middleware,https://www.github.com/patkle/spidermon,https://www.github.com/patkle/IBM-Applied-Data-Science-Capstone,https://www.github.com/patkle/kickstarter,https://www.github.com/patkle/Metacritic-Scrapy-Project,https://www.github.com/patkle/Amazon-Scrapy-Project,https://www.github.com/patkle/itch.io-Scrapy-Project,https://www.github.com/patkle/VGChartz-Scrapy-Project,https://www.github.com/patkle/cookiecutter-scrapy-project,https://www.github.com/patkle/Pokemon-com-Scrapy-Project,https://www.github.com/patkle/MtG-Scrapy-Project,https://www.github.com/patkle/Gamespot-Scrapy-Project,https://www.github.com/patkle/OpenCritic-Scrapy-Project,https://www.github.com/patkle/CoffeeReview-Scrapy-Project,https://www.github.com/ChidambaraRaju/Web-Scraping-Project-IMDb-Movies-using-Multiprocessing,https://www.github.com/ChidambaraRaju/Web-Scraping-Project-Kaggle-Dataset,https://www.github.com/ChidambaraRaju/My-Certificates,https://www.github.com/ChidambaraRaju/Youtube-Data-Analysis,https://www.github.com/ChidambaraRaju/English-Premier-League-20-21-Data-Analysis-using-Python,https://www.github.com/ChidambaraRaju/Recommendation-System-in-Python-using-OneHot-Encoding,https://www.github.com/ChidambaraRaju/Text-Cyphering-using-Python,https://www.github.com/ChidambaraRaju/Random-Password-Generator-using-Python,https://www.github.com/ChidambaraRaju/World-happiness-report-2021-data-analysis"
prashant-3200,No username,No bio,0,1,no data,no url,no social account has been linked,0,0.0,0,No Repository,No Repository link,No Repository link,No Repository link
Nandhinikumar223,NANDHINI K,I am a Mechanical Engineering Student in Rajalakshmi engineering college .Data Science Beginner | Enthusiastic Learner | Eager to develop skills in data analyze,3,5,Rajalakshmi Engineering College,no url,no social account has been linked,7,0.0,0,"sales--Analysis--Basic,Covid--Analysis-2,IMDB-movie-analysis---Basic,Baseball-analysis-,Product-analysis,Covid-Analysis-1,Inventory-Management-System","https://www.github.com/Nandhinikumar223/sales--Analysis--Basic,https://www.github.com/Nandhinikumar223/Covid--Analysis-2,https://www.github.com/Nandhinikumar223/IMDB-movie-analysis---Basic,https://www.github.com/Nandhinikumar223/Baseball-analysis-,https://www.github.com/Nandhinikumar223/Product-analysis,https://www.github.com/Nandhinikumar223/Covid-Analysis-1,https://www.github.com/Nandhinikumar223/Inventory-Management-System",No Repository link,No Repository link
Shaikabdulsalman,No username,No bio,1,1,no data,no url,no social account has been linked,0,0.0,4,No Repository,No Repository link,"AshishJangra27 / Data-Science-Specialization,AshishJangra27 / Deep-Learning-Course-GFG,AshishJangra27 / Data-Science-Bootcamp-GFG,AshishJangra27 / Data-Science-Assignments-GFG","https://www.github.com/AshishJangra27/Data-Science-Specialization,https://www.github.com/AshishJangra27/Deep-Learning-Course-GFG,https://www.github.com/AshishJangra27/Data-Science-Bootcamp-GFG,https://www.github.com/AshishJangra27/Data-Science-Assignments-GFG"
VishalEmmanuel,No username,No bio,1,1,no data,no url,no social account has been linked,0,0.0,0,No Repository,No Repository link,No Repository link,No Repository link
snehil943,Snehil Gupta,No bio,1,4,no data,no url,no social account has been linked,3,0.0,1,"POWER-BI-DASHBOARD-,MALARIAL_CELL_DETECTION,WEBSCRAPPING","https://www.github.com/snehil943/POWER-BI-DASHBOARD-,https://www.github.com/snehil943/MALARIAL_CELL_DETECTION,https://www.github.com/snehil943/WEBSCRAPPING",freeCodeCamp / freeCodeCamp,https://www.github.com/freeCodeCamp/freeCodeCamp
harshitpathak027,No username,No bio,1,4,no data,no url,no social account has been linked,4,0.0,7,"project3,project-assignment,portfolio-landing-page-assignment,harshitpathak027","https://www.github.com/harshitpathak027/project3,https://www.github.com/harshitpathak027/project-assignment,https://www.github.com/harshitpathak027/portfolio-landing-page-assignment,https://www.github.com/harshitpathak027/harshitpathak027","pwlive / fullstackwebdevelopment,BhavyaBhalla-27 / DSA-Supreme-,Ujjwal2327 / DSA-SUPREME,loveBabbar / CodeHelp-DSA-Busted-Series,manish-virgat / DSA-Self-Paced,AshishJangra27 / Data-Analysis-with-Python-GFG,AshishJangra27 / Data-Science-Assignments-GFG","https://www.github.com/pwlive/fullstackwebdevelopment,https://www.github.com/BhavyaBhalla-27/DSA-Supreme-,https://www.github.com/Ujjwal2327/DSA-SUPREME,https://www.github.com/loveBabbar/CodeHelp-DSA-Busted-Series,https://www.github.com/manish-virgat/DSA-Self-Paced,https://www.github.com/AshishJangra27/Data-Analysis-with-Python-GFG,https://www.github.com/AshishJangra27/Data-Science-Assignments-GFG"
