name,stars,sell_price,mark_price,delivery_date
I2SERVICES 33FT. X 3.5 FT Badminton NET (Brown)  ,not available,299,799,"Monday, 27 March"
GUNGUN Fathar Shuttle Cock Badminton Shuttlecock Pack of 10 Feather Shuttle Cock  ,5.0,255,0,"Wednesday, 29 March"
Arrowmax Professional Full Dotted Anti Slip Racket Grips  ,3.8,295,1299,"Monday, 27 March"
Yonex Mavis 350 Nylon Shuttlecock  ,4.1,1095,1265,"Friday, 24 March"
"Yonex Mavis 200i Nylon Shuttle Cock, Pack of 6 (Yellow)  ",4.3,0,0,"Friday, 24 March"
"FEROC 2 Pieces Aluminium Badminton Racket with 3 Pieces Feather Shuttles with Full-Cover Set ,Aluminum, Multicolor  ",3.9,0,0,"Tuesday, 4 April"
Yonex Mavis 350 Nylon Shuttlecock  ,4.1,1095,0,Data not available
"Yonex Mavis 200i Nylon Shuttle Cock, Pack of 6 (Yellow)  ",4.3,399,0,Data not available
Silver's SIL-SMASH Aluminum Badminton Racquet  ,3.6,99,199,"Tomorrow, 23 March"
"Yonex Nanoray Light 18i Graphite Badminton Racquet with Free Full Cover (77 Grams, 30 lbs Tension)  ",4.3,1899,0,Data not available
"Nivia HY-Court 2.0 Badminton Shoe for Mens | Rubber Sole Shoes with Upper Mesh for Sports, Badminton, Volleyball, Squash, Table Tennis, Nonmarking Sole  ",4.2,1486,0,Data not available
"FEROC 2 Pieces Aluminium Badminton Racket with 3 Pieces Feather Shuttles with Full-Cover Set ,Aluminum, Multicolor  ",3.9,0,0,"Tuesday, 4 April"
Yonex GR 303 Aluminium Blend Badminton Racquet with Full Cover  ,3.9,499,0,Data not available
Yonex ZR 111 Light Aluminium Badminton Racquet with Full Cover | Made in India  ,3.9,0,0,Data not available
"Yonex Nanoray Light 18i Graphite Badminton Racquet with Free Full Cover (77 Grams, 30 lbs Tension)  ",4.3,0,0,"Sunday, 26 March"
Silver's SIL-SMASH Aluminum Badminton Racquet  ,3.6,99,199,"Tomorrow, 23 March"
Yonex GR 303 Aluminium Blend Badminton Racquet with Full Cover  ,3.9,0,0,"Sunday, 26 March"
Silver's Marvel Feather Shuttlecock (White) - Pack of 3  ,3.6,0,0,"Tomorrow, 23 March"
Raisco R716F Nylon Badminton Net (Blue)  ,4.0,249,785,"Tomorrow, 23 March"
"YONEX Graphite Badminton Racquet Astrox Lite 27i (G4 , 77 Grams , 30 lbs Tension , Blue)  ",4.2,1819,2999,"Sunday, 26 March"
"Transform Star 2.0 Badminton Racket,Orange (Unstrung)  ",3.0,2992,3990,Data not available
Victor A170JR Junior Badminton Shoes for Kids  ,not available,0,4150,"Wednesday, 29 March"
THRAX M Aello Series Badminton Kitbag Blue Lime  ,not available,1499,4400,"Wednesday, 29 March"
