name,stars,sell_price,mark_price,delivery_date
SHINING SUN VISION Smart LED Vision Chart 19 inch  ,3.5,19499,30000,"Wednesday, 29 March"
"Regatech Compatible for Gateway NV53A46U, NV53A47U, NV53A48U, NV53A49U, NV53A50U, NV53A51U, NV53A52U, NV53A53U, NV53A56U Laptop Keyboard  ",not available,799,2499,"Tuesday, 28 March"
"Regatech Compatible for Hp G62-A70SQ, G62-A70SV, G62-A74SS, G62-A75ER, G62-A75SS, G62-A80ER, G62-A80ES, G62-A82ER, G62-A83ER Laptop Keyboard Keypad  ",not available,699,2499,"Tuesday, 28 March"
"boAt Airdopes 141 Bluetooth Truly Wireless in Ear Earbuds with mic, 42H Playtime, Beast Mode(Low Latency Upto 80ms) for Gaming, ENx Tech, ASAP Charge, IWP, IPX4 Water Resistance (Bold Black)  ",3.9,0,0,"Tomorrow, 23 March"
boAt BassHeads 100 in-Ear Wired Headphones with Mic (Black)  ,4.1,379,999,"Today, 22 March"
"Fire-Boltt Ninja Call Pro Plus 1.83"" Smart Watch with Bluetooth Calling, AI Voice Assistance, 100 Sports Modes IP67 Rating, 240 * 280 Pixel High Resolution  ",4.3,0,0,"Today, 22 March"
"Fire-Boltt Ninja Call Pro Smart Watch Dual Chip Bluetooth Calling, AI Voice Assistance with 1.69"" Display, 100 Sports Modes, with SpO2 & Heart Rate Monitoring, 100 Off on UPI  ",4.2,0,0,"Today, 22 March"
"boAt Rockerz 330 Bluetooth Wireless in Ear Earphones with mic, Upto 30 Hours Playtime, ASAP Charge, Signature Sound, Dual Pairing & IPX5(Navy Blue)  ",4.1,1486,3990,Data not available
"boAt Wave Call Smart Watch, Smart Talk with Advanced Dedicated Bluetooth Calling Chip, 1.69 HD Display with 550 NITS & 70% Color Gamut, 150+ Watch Faces, Multi-Sport Modes,HR,SpO2, IP68(Active Black)  ",3.8,0,0,"Today, 22 March"
"boAt Rockerz 255 Pro+ in-Ear Bluetooth Neckband with Upto 40 Hours Playback, ASAP Charge, IPX7, Dual Pairing, BT v5.0, with Mic (Active Black)  ",4.1,1299,3990,"Today, 22 March"
"boAt Airdopes 121v2 in-Ear True Wireless Earbuds with Upto 14 Hours Playback, 8MM Drivers, Battery Indicators, Lightweight Earbuds & Multifunction Controls (Active Black, with Mic)  ",3.8,1299,2990,"Tomorrow, 23 March"
"ZEBRONICS Zeb-Bro in Ear Wired Earphones with Mic, 3.5mm Audio Jack, 10mm Drivers, Phone/Tablet Compatible(Black)  ",3.5,0,0,"Today, 22 March"
"Regatech Compatible for Asus U31E, U31F, U31F, U31F, U31J, U31J, U31J, U31JC, U31JC, UL80AG-WX037V, UL80AG-XXXX, U30SD-RO204V Laptop Keyboard Keypad  ",not available,799,2499,"Tuesday, 28 March"
"TRI-COM ® Pure Copper RJ45 Category 6 w/Strain Relief/Fluke Tested ul/TIA Certified Pure Copper 10/100/1000 Mbps, 10 Gigabit (Heavy Duty LD Coated PVC Outer Jacket for Outdoor, Router, 300 Meter)  ",3.9,8599,12999,"Sunday, 26 March"
Ndola Hospital Multipara Monitor Stand with Basket  ,not available,3999,9999,"Friday, 24 March"
"boAt Flash Edition Smart Watch with Activity Tracker, Multiple Sports Modes, 1.3"" Screen, 170+ Watch Faces, Sleep Monitor, Gesture, Camera & Music Control, IP68 & 7 Days Battery Life(Lightning Black)  ",4.0,1099,6990,"Today, 22 March"
"SanDisk Ultra® microSDXC™ UHS-I Card, 64GB, 140MB/s R, 10 Y Warranty, for Smartphones  ",4.4,489,1000,"Today, 22 March"
"Lapster 5-in-1 Multi-Function Laptop Cleaning Brush/Keyboard Cleaning kit/Gadget Cleaning kit Gap Duster Key-Cap Puller for Laptop, Keyboard and Earphones(Multi Colour)  ",4.2,97,999,"Tomorrow, 23 March"
SanDisk Cruzer Blade 32GB USB Flash Drive  ,4.3,278,650,"Today, 22 March"
"Noise Pulse Go Buzz Smart Watch with Advanced Bluetooth Calling, 1.69"" Display, 150+ Cloud Watch Face, SPo2, Heart Rate Tracking, 100 Sports Mode with Auto Detection, Longer Battery (Jet Black)  ",4.1,0,0,"Today, 22 March"
"Fire-Boltt Phoenix Smart Watch with Bluetooth Calling 1.3"",120+ Sports Modes, 240 * 240 PX High Res with SpO2, Heart Rate Monitoring & IP67 Rating, Rs 100 Off on UPI  ",4.3,0,0,"Today, 22 March"
"STRIFF Mpad Mouse Mat 230X190X3mm Gaming Mouse Pad, Non-Slip Rubber Base, Waterproof Surface, Premium-Textured, Compatible with Laser and Optical Mice(Universe Black)  ",4.3,0,0,"Tomorrow, 23 March"
"boAt Type C A325 Tangle-free, Sturdy Type C Cable with 3A Rapid Charging & 480mbps Data Transmission(Black)  ",4.1,199,499,"Today, 22 March"
"Scotch Double Sided Heavy Duty Tape(1m holds 4.5Kgs) for indoor hanging applications (Photo frames, Mirrors, Key Holders, Car Interiors, Extension Boards, Wall decoration, etc)(L: 3m, W: 24mm), White  ",3.9,0,0,"Today, 22 March"
"Portronics Toad 23 Wireless Optical Mouse with 2.4GHz, USB Nano Dongle, Optical Orientation, Click Wheel, Adjustable DPI(Black)  ",4.1,349,599,"Today, 22 March"
"Noise Pulse 2 Max Advanced Bluetooth Calling Smart Watch with 1.85'' Display, 550 NITS Brightness, Smart DND, 10 Days Battery, 100 Sports Modes, Smart Watch for Men and Women - (Jet Black)  ",4.1,0,0,"Today, 22 March"
LAPSTER Spiral Charger Spiral Charger Cable Protectors for Wires Data Cable Saver Charging Cord Protective Cable Cover Set of 3 (12 Pieces)  ,4.1,81,999,"Today, 22 March"
"JBL C100SI Wired In Ear Headphones with Mic, JBL Pure Bass Sound, One Button Multi-function Remote, Angled Buds for Comfort fit (Black)  ",4.1,0,0,"Today, 22 March"
"Duracell Alkaline AAA Batteries, Pack of 10  ",4.4,0,0,"Today, 22 March"
Samsung EVO Plus 128GB microSDXC UHS-I U3 130MB/s Full HD & 4K UHD Memory Card with Adapter (MB-MC128KA)  ,4.3,889,2699,"Today, 22 March"
"ZORBES® Desktop Monitor Stand with USB A/C Ports, Phone Stand and Mini Drawer, Support Data Transfer, Charging, Multifunction Stand Riser for Desktop, Laptop, Monitor Black  ",not available,3999,5999,"Saturday, 25 March"
Kitwe Patient Monitor Stand Wall Mount (Pack of 1 Piece)  ,not available,5399,8999,"Friday, 24 March"
"Ndola Hospital Multipara Monitor Stand with Basket, Pack - 1  ",not available,3999,9999,"Friday, 24 March"
SHINING SUN VISION Smart LED Vision Chart 19 inch  ,3.5,19499,30000,"Wednesday, 29 March"
"Regatech Compatible for Gateway NV53A46U, NV53A47U, NV53A48U, NV53A49U, NV53A50U, NV53A51U, NV53A52U, NV53A53U, NV53A56U Laptop Keyboard  ",not available,799,2499,"Tuesday, 28 March"
"Regatech Compatible for Hp G62-A70SQ, G62-A70SV, G62-A74SS, G62-A75ER, G62-A75SS, G62-A80ER, G62-A80ES, G62-A82ER, G62-A83ER Laptop Keyboard Keypad  ",not available,699,2499,"Tuesday, 28 March"
STRIFF Adjustable Laptop Tabletop Stand Patented Riser Ventilated Portable Foldable Compatible with MacBook Notebook Tablet Tray Desk Table Book with Free Phone Stand (Black)  ,4.3,0,0,"Today, 22 March"
"boAt Xtend Smartwatch with Alexa Built-in, 1.69” HD Display, Multiple Watch Faces, Stress Monitor, Heart & SpO2 Monitoring, 14 Sports Modes, Sleep Monitor, 5 ATM & 7 Days Battery(Charcoal Black)  ",4.2,1799,7990,"Today, 22 March"
"Storio Kids Toys LCD Writing Tablet 8.5Inch E-Note Pad Best Birthday Gift for Girls Boys, Multicolor (SC1667)  ",3.8,237,0,"Today, 22 March"
SanDisk Cruzer Blade 64GB USB 2.0 Flash Drive  ,4.2,389,1100,"Today, 22 March"
boAt BassHeads 900 On-Ear Wired Headphones with Mic (White)  ,4.2,599,2490,"Today, 22 March"
"Redgear A-10 Wired Gaming Mouse with RGB LED, Lightweight and Durable Design, DPI Upto 2400, Compatible with Windows and MAC.  ",4.3,279,699,Data not available
